story,season,primary_colour,exclusive,garment_pattern,print_pattern_type,number_of_components,number_of_pockets,pocket_type,neck,collar,placket,length,sleeve_length,sleeve_type,hemline,waist_rise,footwear_ankle_type,closure,dress_type,top_style_type,jacket_type,distress,fade,dungaree_bottom_type,footwear_insole,fabric_story,fabric_weave_pattern,wash_care,footwear_upper_material,footwear_sole_material,fabric_composition,denim_cast,colour_intensity,color_family
,,Crimson Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Custard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cyber Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cypress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Daphne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Beige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Beige Melange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Denim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Green Melange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Khaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Maroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Mauve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Moss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Mustard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Navy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Olive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Purple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Tan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Teal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Violet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dark oak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Darkest Spruce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Day Lily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,December Sky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Deep Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Deep Emerald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Deep Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Deep Jungle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Deep Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Deep Lichen Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Deep Sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Deep Teal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Deep Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Delicate Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Delicate Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Denim Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Desert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Desert Peach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Desert Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Diaphonous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Digi Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Digi Desert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Digi Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Digital Lavender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Digital Lilac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dirty White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Doeskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Double Cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dress Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dubarry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dull Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dull Turquoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dusk Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dusted Grape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dusty Grape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dusty Mauve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dusty Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dusty Purple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Earthy Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ecru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ecru Melange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Eden Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Egg Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Egg White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Electric Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Elemental Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Elmwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Emerald Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Emerald Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,English Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,English Manor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Evening Sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Everglade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Evergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fair Orchid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fenugreek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fiery Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Flame Scarlet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Flamingo Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Foam Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fondant Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Forest Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Forest Olive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Forest Shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Forever Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Formal Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Foundant Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,French Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fresh Lilac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fresh Mint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Frosty Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fuchsia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fuchsia Fedora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fuchsia Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Galactic Cobalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Galaxy Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gentian Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gentle Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gentle Lavender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ginger Biscuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ginger Bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Glacial Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Glaciar Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Glacier Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Golden Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Golden Cob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Golden Haze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Golden Khaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Golden Olive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Golden White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grape Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grapeade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Graphite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gray Sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Green Bee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Green Fig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Green Flare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Green Flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Green Gecko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Green Glow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Green Melange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Green Spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Green Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grenadine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grey Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grey Blue Melange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grey Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grey Melange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grey Olive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Greyish Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ground Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Harbor Mist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Harbour Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Haute Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hawaiian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hawaiin Sunset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Heather Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hedge Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hidden Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Holly Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Honey Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Honeysuckle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hot Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hunter Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hyper Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ibiza Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ice Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ice Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Icemelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Imperial Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Imperial Palace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Indigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Indigo Melange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ink Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Iris Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Irish Cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Iron Gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Island Fossil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Island Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Italian Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ivory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ivory Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ivy Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jelly Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jet Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,June Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jungle Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kelp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kelp Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kentucky Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Khaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Khaki Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Khaki Melange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kombu Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lagoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lapis Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lavender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lavender Fog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lavender Mist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leaf Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lemon Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lemon Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lemon Meringue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lemon Tonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lemon Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lemonade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Beige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Blue Melange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Choco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Khaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Lavender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Lilac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Magenta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Mauve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Olive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Pink Melange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Pista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Purple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Tan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lilac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lilac Hint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lily Pad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lime Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Limeade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Limoges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,London Fog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lotus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lupine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Luscious Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lyons Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Magenta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Magenta Melange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Magnetic Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Malachite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Malibu Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine Teal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Maroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Matt Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mauve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mauve Haze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mauve Shadows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mauveglow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Melange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mellow Peach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mellow Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Melon Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Meringue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Meta Mauve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Midnight Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Midnight Navy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Military Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mimosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mindful Mauve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mint Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mistletoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mocha Bisque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mood Indigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Moonlight Ocean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Moroccon Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Morroccan Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Moss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mud Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Multicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Murky Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mustang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mustard Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Narcissus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Natural Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Naval Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Navy Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Navy Grindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Navy Loop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Navy Melange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Navy Peony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Neon Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Neon Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Neon Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Neon Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nephrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Neutral Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nile Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nutshell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oat Meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oat Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ocean Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ochre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Off White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oil Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olive Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olive Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olive Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olive Melange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olive oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Onion Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Optic White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Orange Melange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Orange Rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Orangeade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Orchid Bloom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Orchid Hush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Orchid Petal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Outer Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oxford Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oxford Tan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oxidised Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oxidized Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oyster Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pale Banana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pale Blush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pale Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pale Khaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pale Mauve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pale Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pale Rosette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pansy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Parchment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pastel Beige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pastel Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pastel Lilac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pastel Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pastel Turquoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pastel Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peach Parfait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
