story,season,primary_colour,exclusive,garment_pattern,print_pattern_type,number_of_components,number_of_pockets,pocket_type,neck,collar,placket,length,sleeve_length,sleeve_type,hemline,waist_rise,footwear_ankle_type,closure,dress_type,top_style_type,jacket_type,distress,fade,dungaree_bottom_type,footwear_insole,fabric_story,fabric_weave_pattern,wash_care,footwear_upper_material,footwear_sole_material,fabric_composition,denim_cast,colour_intensity,color_family
Clean Look,,Antique Green,,Ruffled,Chessboard,,,Zipper Pocket,Queen Anne,Johnny Collar,,,,Cutout Sleeves,Straight,,,Hook/Zipper,Layered,Kaftan Top,Puffer Jacket,,,,,Seersucker,Knitted,,,,Cotton Viscose Polyester,2/1RGD_950_BLACK BY BLACK,,Navy Blue
Club House,,Antique Moss,,Smocked,Chevron,,,,Round Neck,Lapel Collar,,,,Doctor Sleeve,Toggle elastic,,,Hook/Zipper/Shoulder Suspenders,Maxi,Kimono Top,Quilted Jacket,,,,,Self Design,Loop Knit,,,,Linen,2/1RGD_950_DARK IBST BY WHITE,,Olive
Core Cargo,,Antique White,,Spliced,Colourblocked,,,,Rounded Square,Mandarin Collar,,,,Dolman sleeves,,,,Lace-Ups,Peplum,Layered Top,Sports Jacket,,,,,Single Jersey,Matty,,,,Linen Flex,2/1RGD_950_DARK INDIGO,,Orange
Core Update,,Apricot Cream,,Tiered,Conversational,,,,Ruffled,Notch Collar,,,,Draped sleeves,,,,Press button,Pinafore,Longline Top,Tailored Jacket,,,,,Solid,Mockleno,,,,Linen Lyocell,2/1RGD_950_ECRU,,Pink
Crafted Details,,Apricot Crush,,Twisted,Diagonal Stripes,,,,Scalloped Neck,Peter Pan Collar,,,,Drawstring puff sleeves,,,,Pullover,Pleated,Off Shoulder Top,Varsity Jacket,,,,,Suede,Ottoman,,,,Linen Viscose,2/1RGD_9_INDIGO,,Purple
Crafted Expressive Street,,Apricot Gelato,,,Distorted,,,,Scoop Neck,Polo Collar,,,,Drop Shoulder,,,,Ring Snap,Ribbed,Peasant Top,Winter Coat,,,,,Terry Knit,Oxford,,,,Linen Viscose Flex,3/1CL_10_BLACK BY WHITE,,Red
Crafted Street,,Apricot Orange,,,Distressed,,,,Spaghetti Strap Neck,Resort Collar,,,,Elasticated,,,,Slip-On,Ruffled,Peplum Top,,,,,,Textured,Plain,,,,Poly Modal Blend,3/1CL_950_DARK SB,,Rust
Dark Character,,Aqua,,,Ditsy,,,,Square Neck,Ruffle Collar,,,,Elasticated Cuff,,,,Snap Button,Sheath,Racerback Top,,,,,,Velvet,Pointelle,,,,Polyester Blend,3/1CL_975_DEEP INDIGO,,Silver
Darker Subculture,,Aqua Green,,,Doodle,,,,Surplice Neck,Sailor Collar,,,,Elasticated Tie Up,,,,Tie-Up,Sheer,Raglan Top,,,,,,Velvet Cord,Popcorn,,,,Polyester Cotton,3/1CPL_1025_BLACK BY BLACK,,Tan
Day Out,,Aqua Sea,,,Embellishment,,,,Sweetheart,Shawl Collar,,,,Extended Sleeves,,,,Zip,Shift,Regular Top,,,,,,Yarn Dyed,Rib,,,,Polyester Cotton Elastane,3/1CPL_1025_BLACK BY WHITE,,Teal
Deconstructed,,Aquatic Awe,,,Embroided,,,,Turtle Neck,Small Collar,,,,Fashion Sleeve,,,,Zipper/Button/Belt,Shirt,Ruffled Top,,,,,,,Ripstop,,,,Polyester Elastane,3/1CPL_1025_DARK IBST,,Turquoise
Digi Florals,,Ash Grey,,,Fairisle,,,,U-Neck,Spread Collar,,,,Flared Sleeves,,,,,Skater,Sheer Top,,,,,,,Satin,,,,Polyester Linen,3/1CPL_1025_DARK IBST BY BLACK,,Violet
Distorted Dyes,,Astro Dust,,,Fauna,,,,V-Neck,Standup Collar,,,,Flute Sleeves,,,,,T-Shirt,Shirt Style,,,,,,,Slub,,,,Polyester Viscose,3/1CPL_1025_DARK INDIGO,,White
Effortless Nomad,,Astro Green,,,Floral,,,,Wrap,Tie Neck Collar,,,,Flutter sleeves,,,,,Tiered,Strappy Top,,,,,,,Terry,,,,Polyester Viscose Cotton,3/1CPL_1025_DARK INDIGO BY BLACK,,Yellow
Elevated Basics,,Aventurine,,,Futuristic,,,,,Turtle Neck Collar,,,,Frill sleeves,,,,,Tube,Swing Top,,,,,,,Twill,,,,Polyester Viscose Elastane,3/1CPL_1025_DARK INDIGO/BLACK,,
Elevated Everyday,,Azzure Blue,,,Geometric,,,,,Wingtip Collar,,,,Full Sleeve,,,,,Two Piece Dress,Tank Top,,,,,,,Waffle,,,,Viscose Lyocell,3/1CPL_1025_DEEP INDIGO,,
Elevated Utility,,Baby Blue,,,Gingham Checks,,,,,,,,,Gathered Sleeves,,,,,Wrap,Trapeze Top,,,,,,,,,,,Viscose Polyester,3/1CPL_1025_DEEP INDIGO  BY BLACK,,
Embroidery,,Baby Pink,,,Graffiti,,,,,,,,,Gauntlet sleeves,,,,,,Tube Top,,,,,,,,,,,,3/1CPL_1025_ECRU,,
Everyday Ease,,Baked Clay,,,Graphic,,,,,,,,,Gibson Girl sleeves,,,,,,Tunic,,,,,,,,,,,,3/1CPL_1025_GREY BY BLACK,,
Extreme Utility,,Ballet Slipper,,,Handkerchief Print,,,,,,,,,Half Sleeve,,,,,,Wrap Top,,,,,,,,,,,,3/1CPL_1025_GREY BY WHITE,,
Flexible Tailoring,,Baltic Sea,,,Holographic,,,,,,,,,Hanging sleeves,,,,,,,,,,,,,,,,,,3/1CPL_1025_MULTICOUNT DEEP INDIGO,,
Fluid Career,,Basalt,,,Horizontal Stripes,,,,,,,,,Juliet sleeves,,,,,,,,,,,,,,,,,,3/1CPL_1025_SBIT,,
Forever Vacay,,Basil Green,,,Ikkat,,,,,,,,,Kaftan Sleeve,,,,,,,,,,,,,,,,,,3/1CPL_1025_SBIT BY BLACK,,
Formal,,Baton Rouge,,,Indie,,,,,,,,,Kimono sleeves,,,,,,,,,,,,,,,,,,3/1CPL_1050_DARK IBST,,
Future Utility,,Bay Leaf,,,Kidult,,,,,,,,,Lantern sleeves,,,,,,,,,,,,,,,,,,3/1CPL_1050_DARK INDIGO,,
Futuristic,,Beacon Orange,,,Kitch,,,,,,,,,Layered Sleeves,,,,,,,,,,,,,,,,,,3/1CPL_1050_DARK INDIGO BY BLACK,,
Gothic,,Beetroot Purple,,,Lace,,,,,,,,,Leg-o'-mutton,,,,,,,,,,,,,,,,,,3/1CPL_1050_GREY_BY WHITE,,
Gym Core,,Beige,,,Laser Cut,,,,,,,,,Long Bell sleeves,,,,,,,,,,,,,,,,,,3/1CPL_1050_SBIT,,
Holiday,,Beige Melange,,,Laser Print,,,,,,,,,Magyar Sleeves,,,,,,,,,,,,,,,,,,3/1CPL_1075_DARK INDIGO,,
Hyper Utility,,Biscuit,,,Line Art,,,,,,,,,Mameluke sleeves,,,,,,,,,,,,,,,,,,3/1CPL_1150_DARK INDIGO BY BLACK,,
Hyper-Hypo,,Bitter Yellow,,,Madras Checks,,,,,,,,,Melon sleeve,,,,,,,,,,,,,,,,,,3/1CPL_11_BLACK BY BLACK,,
Indie,,Black,,,Marble,,,,,,,,,No Cuff,,,,,,,,,,,,,,,,,,3/1CPL_11_DARK IBST,,
Indie Geo,,Black Forest,,,Metaverse,,,,,,,,,Noodle strap,,,,,,,,,,,,,,,,,,3/1CPL_11_DARK IBST BY BLACK,,
Kidult,,Black Grindle,,,Micro Ditsy,,,,,,,,,Off-Shoulder Sleeve,,,,,,,,,,,,,,,,,,3/1CPL_11_DEEP INDIGO,,
Korean Street,,Black Ink,,,Mosaic,,,,,,,,,One Shoulder,,,,,,,,,,,,,,,,,,3/1CPL_11_DEEP INDIGO BY WHITE,,
Linear Luxe,,Black Melange,,,Multi Stripes,,,,,,,,,Peasant sleeves,,,,,,,,,,,,,,,,,,3/1CPL_11_ECRU,,
Material Mix,,Black Sand,,,Nautical,,,,,,,,,Petal sleeves,,,,,,,,,,,,,,,,,,3/1CPL_11_GREY BY WHITE,,
Meta Edit,,Blood Red,,,Ombre,,,,,,,,,Pleated Sleeves,,,,,,,,,,,,,,,,,,3/1CPL_725_DARK INDIGO,,
Metastreetwear Utility,,Blue,,,Optic,,,,,,,,,Poet sleeves,,,,,,,,,,,,,,,,,,3/1CPL_725_DARK SB,,
Metaverse,,Blue Aster,,,Paint Splash,,,,,,,,,Puff sleeves,,,,,,,,,,,,,,,,,,3/1CPL_950_BLACK BY BLACK,,
Minimal,,Blue Glass,,,Paisley,,,,,,,,,Raglan sleeves,,,,,,,,,,,,,,,,,,3/1CPL_950_BLACK BY WHITE,,
Mix N Match,,Blue Grindle,,,Photo Print,,,,,,,,,Regular,,,,,,,,,,,,,,,,,,3/1CPL_950_DEEP INDIGO,,
Modern Romantic,,Blue Melange,,,Pin Stripes,,,,,,,,,Ribbed Cuff,,,,,,,,,,,,,,,,,,3/1CPL_950_Dark IBST BY BLACK,,
Modular Cargo,,Blue Radiance,,,Pixelated,,,,,,,,,Roll-up Sleeve,,,,,,,,,,,,,,,,,,3/1CPL_950_ECRU,,
Modular Geometry,,Blue Resin,,,Polka Dot,,,,,,,,,Ruched Sleeves,,,,,,,,,,,,,,,,,,3/1CPL_9_DARK IBST,,
Natural Look,,Blue Wing Teal,,,Postcards,,,,,,,,,Ruffle Sleeve,,,,,,,,,,,,,,,,,,3/1CTNRGD_1050_BLACK BY BLACK,,
Nature Verse,,Blush Pink,,,Printed,,,,,,,,,Shirred Sleeves,,,,,,,,,,,,,,,,,,3/1CTNRGD_1050_BLACK BY WHITE,,
Nerdcore,,Blushing Bride,,,Psychedelic,,,,,,,,,Short Sleeve,,,,,,,,,,,,,,,,,,3/1CTNRGD_1050_DARK IBST BY BLACK,,
New Prep,,Bone White,,,Quirky,,,,,,,,,Shoulder Straps,,,,,,,,,,,,,,,,,,3/1CTNRGD_1050_DEEP INDIGO,,
Ode To Indian Heritage ,,Botanical Garden,,,Racing,,,,,,,,,Shoulder Tie Ups,,,,,,,,,,,,,,,,,,3/1CTNRGD_1050_ECRU,,
Old Money,,Bottle Green,,,Schiffli,,,,,,,,,Slashed sleeves,,,,,,,,,,,,,,,,,,3/1CTNRGD_10_BLACK BY BLACK,,
On The Road,,Brazillian Sand,,,Sketch Art,,,,,,,,,Sleeveless,,,,,,,,,,,,,,,,,,3/1CTNRGD_10_DEEP INDIGO,,
